filename,compound_name_IS,area_IS
230831_Std_4uMStdsMix1InH2O_1,"Arsenobetaine, 13C2",9495498
230831_Std_4uMStdsMix1InH2O_2,"Arsenobetaine, 13C2",8387652
230831_Std_4uMStdsMix1InH2O_3,"Arsenobetaine, 13C2",443868
230831_Std_4uMStdsMix1InMatrix_1,"Arsenobetaine, 13C2",394202528
230831_Std_4uMStdsMix1InMatrix_2,"Arsenobetaine, 13C2",321432032
230831_Std_4uMStdsMix1InMatrix_3,"Arsenobetaine, 13C2",321553472
230831_Std_4uMStdsMix2InH2O_1,"Arsenobetaine, 13C2",46186
230831_Std_4uMStdsMix2InH2O_2,"Arsenobetaine, 13C2",44724
230831_Std_4uMStdsMix2InH2O_3,"Arsenobetaine, 13C2",134040
230831_Std_4uMStdsMix2InMatrix_1,"Arsenobetaine, 13C2",380272256
230831_Std_4uMStdsMix2InMatrix_2,"Arsenobetaine, 13C2",340778688
230831_Std_4uMStdsMix2InMatrix_3,"Arsenobetaine, 13C2",347793856
230831_Std_H2OinMatrix_1,"Arsenobetaine, 13C2",370845056
230831_Std_H2OinMatrix_2,"Arsenobetaine, 13C2",328226112
230831_Std_H2OinMatrix_3,"Arsenobetaine, 13C2",321697600
230831_Poo_G5_NFEX-CatEx_Full1,"Arsenobetaine, 13C2",558859392
230831_Poo_G5_NFEX-CatEx_Full2,"Arsenobetaine, 13C2",532988064
230831_Poo_G5_NFEX-CatEx_Full3,"Arsenobetaine, 13C2",527539360
230831_Poo_G5_NFEX-CatEx_Full4,"Arsenobetaine, 13C2",534713696
230831_Poo_G5_NFEX-CatEx_Full5,"Arsenobetaine, 13C2",550112256
230831_Poo_G5_NFEX-CatEx_Full6,"Arsenobetaine, 13C2",524432928
230831_Poo_G5_NFEX-CatEx_Full7,"Arsenobetaine, 13C2",531548032
230831_Poo_G5_NFEX-CatEx_Full8,"Arsenobetaine, 13C2",547324608
230831_Poo_G5_NFEX-CatEx_Full9,"Arsenobetaine, 13C2",534909408
230831_Poo_G5_NFEX-CatEx_Full10,"Arsenobetaine, 13C2",537262592
230831_Poo_G5_NFEX-CatEx_Full11,"Arsenobetaine, 13C2",530295616
230831_Smp_G5_NFEX_T0_Metab_A,"Arsenobetaine, 13C2",671727424
230831_Smp_G5_NFEX_T0_Metab_B,"Arsenobetaine, 13C2",573919808
230831_Smp_G5_NFEX_T0_Metab_C,"Arsenobetaine, 13C2",474601984
230831_Smp_G5_NFEX_T6_NH4_Metab_A,"Arsenobetaine, 13C2",434566688
230831_Smp_G5_NFEX_T6_NH4_Metab_B,"Arsenobetaine, 13C2",480006560
230831_Smp_G5_NFEX_T6_NH4_Metab_C,"Arsenobetaine, 13C2",587541248
230831_Smp_G5_NFEX_T6_NO3_Metab_A,"Arsenobetaine, 13C2",487455264
230831_Smp_G5_NFEX_T6_NO3_Metab_B,"Arsenobetaine, 13C2",485997216
230831_Smp_G5_NFEX_T6_NO3_Metab_C,"Arsenobetaine, 13C2",499691232
230831_Smp_G5_NFEX_T6_Urea_Metab_A,"Arsenobetaine, 13C2",712077376
230831_Smp_G5_NFEX_T6_Urea_Metab_B,"Arsenobetaine, 13C2",513547616
230831_Smp_G5_NFEX_T6_Urea_Metab_C,"Arsenobetaine, 13C2",716382528
230831_Smp_G5_NFEX_T12_NH4_Metab_A,"Arsenobetaine, 13C2",564483584
230831_Smp_G5_NFEX_T12_NH4_Metab_B,"Arsenobetaine, 13C2",558457088
230831_Smp_G5_NFEX_T12_NH4_Metab_C,"Arsenobetaine, 13C2",648221824
230831_Smp_G5_NFEX_T12_NO3_Metab_A,"Arsenobetaine, 13C2",466666816
230831_Smp_G5_NFEX_T12_NO3_Metab_B,"Arsenobetaine, 13C2",517540384
230831_Smp_G5_NFEX_T12_NO3_Metab_C,"Arsenobetaine, 13C2",265965312
230831_Smp_G5_NFEX_T12_Urea_Metab_A,"Arsenobetaine, 13C2",672449600
230831_Smp_G5_NFEX_T12_Urea_Metab_B,"Arsenobetaine, 13C2",700159360
230831_Smp_G5_NFEX_T12_Urea_Metab_C,"Arsenobetaine, 13C2",553328256
230831_Smp_G5_NFEX_T24_NH4_Metab_A,"Arsenobetaine, 13C2",552987456
230831_Smp_G5_NFEX_T24_NH4_Metab_B,"Arsenobetaine, 13C2",256996832
230831_Smp_G5_NFEX_T24_NH4_Metab_C,"Arsenobetaine, 13C2",516270784
230831_Smp_G5_NFEX_T24_NO3_Metab_A,"Arsenobetaine, 13C2",335561504
230831_Smp_G5_NFEX_T24_NO3_Metab_B,"Arsenobetaine, 13C2",703344320
230831_Smp_G5_NFEX_T24_NO3_Metab_C,"Arsenobetaine, 13C2",436384896
230831_Smp_G5_NFEX_T24_Urea_Metab_A,"Arsenobetaine, 13C2",497666880
230831_Smp_G5_NFEX_T24_Urea_Metab_B,"Arsenobetaine, 13C2",559022080
230831_Smp_G5_NFEX_T24_Urea_Metab_C,"Arsenobetaine, 13C2",70112584
230831_Smp_G5_NFEX_T24_Urea_Metab_C_2ndInj,"Arsenobetaine, 13C2",90853392
230831_Smp_LabBlk_1_A,"Arsenobetaine, 13C2",711021760
230831_Smp_LabBlk_1_B,"Arsenobetaine, 13C2",570633344
230831_Smp_LabBlk_1_C,"Arsenobetaine, 13C2",114135320
230831_Smp_LabBlk_1_C_2ndInj,"Arsenobetaine, 13C2",147279232
230831_Smp_LabBlk_2_A,"Arsenobetaine, 13C2",557090688
230831_Smp_LabBlk_2_B,"Arsenobetaine, 13C2",518793088
230831_Smp_LabBlk_2_C,"Arsenobetaine, 13C2",584497600
230831_Smp_LabBlk_3_A,"Arsenobetaine, 13C2",775827968
230831_Smp_LabBlk_3_B,"Arsenobetaine, 13C2",397839808
230831_Smp_LabBlk_3_C,"Arsenobetaine, 13C2",630584064
230831_Smp_LabBlk_4_A,"Arsenobetaine, 13C2",414495904
230831_Smp_LabBlk_4_B,"Arsenobetaine, 13C2",700177984
230831_Smp_LabBlk_4_C,"Arsenobetaine, 13C2",431133408
230831_Smp_LabBlk_5_A,"Arsenobetaine, 13C2",599342976
230831_Smp_LabBlk_5_B,"Arsenobetaine, 13C2",480739008
230831_Smp_LabBlk_5_C,"Arsenobetaine, 13C2",555105792
